Temperature,Year,Month,Country,Country_Code
-0.47 (C) 31.53 (F),2002,Mar,United States,USA
Temperature,Year,Month,Country,Country_Code
3.66 (C) 35.66 (F),2016,Mar,United States,USA
Temperature,Year,Month,Country,Country_Code
-0.47 (C) 31.53 (F),2002,Mar,United States,USA
Temperature,Year,Month,Country,Country_Code
3.66 (C) 35.66 (F),2016,Mar,United States,USA
Temperature,Year,Month,Country,Country_Code
-0.47(C) 31.53 (F), 2002, Mar, United States, USA
Temperature,Year,Month,Country,Country_Code
3.66(C) 35.66 (F), 2016, Mar, United States, USA
